dataset,sense,score_mean,score_sd,coverage_mean,coverage_sd,entropy_corr_rho,entropy_corr_p
simplestories,auditory,1.73354601330814,0.11595348678296279,0.9821386091381701,0.019180423587181358,0.05851194351311944,4.7563500428413346e-09
simplestories,gustatory,0.40533205180389004,0.07166561416051065,0.9821386091381701,0.019180423587181358,0.8860647126646471,0.0
simplestories,olfactory,0.53676292655539,0.07713118158095526,0.9821386091381701,0.019180423587181358,0.8283603466116035,0.0
simplestories,haptic,1.18085110067198,0.11675847720883958,0.9821386091381701,0.019180423587181358,0.5126706713547067,0.0
simplestories,visual,2.69002923729394,0.11383315214517851,0.9821386091381701,0.019180423587181358,-0.1624489309004893,4.238200534928721e-60
simplestories,interoceptive,1.17940834238906,0.11911019665119388,0.9821386091381701,0.019180423587181358,0.4917446950534469,0.0
chicago,auditory,1.687007135958073,0.09145263643748476,0.8221324989057304,0.04599583398564212,0.19203945430734748,2.9321053569449387e-76
chicago,gustatory,0.3812209306931479,0.04314184231277632,0.8221324989057304,0.04599583398564212,0.9258045229242886,0.0
chicago,olfactory,0.5134659003991642,0.050997919009557774,0.8221324989057304,0.04599583398564212,0.798044318392656,0.0
chicago,haptic,1.4012803692489884,0.1175982936311651,0.8221324989057304,0.04599583398564212,0.1246174831004797,8.51841235117341e-33
chicago,visual,3.111206006464793,0.09141123624206172,0.8221324989057304,0.04599583398564212,-0.16137941605669712,4.2238108701165483e-54
chicago,interoceptive,1.3223524268568192,0.09389651238391612,0.8221324989057304,0.04599583398564212,0.5556663106243455,0.0
fanfics,auditory,1.6831186629372938,0.10941078336886671,0.9512923835112512,0.05103267802791664,0.2888436919845616,2.8143320410229992e-98
fanfics,gustatory,0.4257638064282062,0.05734963158033367,0.9512923835112512,0.05103267802791664,0.8931808752758342,0.0
fanfics,olfactory,0.5503103573874312,0.06057659200009294,0.9512923835112512,0.05103267802791664,0.8083734386805285,0.0
fanfics,haptic,1.1863611910319827,0.12607368887146003,0.9512923835112512,0.05103267802791664,0.25184632407489405,2.1592842482509483e-74
fanfics,visual,2.5275538139159126,0.13623419480668666,0.9512923835112512,0.05103267802791664,-0.32621367432164844,2.3468438623699292e-126
fanfics,interoceptive,1.2480937535514751,0.1482844259813435,0.9512923835112512,0.05103267802791664,0.6997511470952131,0.0
storyscope_claude,auditory,1.6847704520650706,0.0615484796917164,0.9706434306726263,0.013618161994397643,0.23747341056628746,4.965305915778269e-95
storyscope_claude,gustatory,0.44921962069967447,0.03492322244596729,0.9706434306726263,0.013618161994397643,0.9329157359881122,0.0
storyscope_claude,olfactory,0.5602043696056295,0.03748591477452856,0.9706434306726263,0.013618161994397643,0.8657600499271636,0.0
storyscope_claude,haptic,1.1183650267329897,0.060030915221739624,0.9706434306726263,0.013618161994397643,0.31086917777515566,6.65194632971335e-165
storyscope_claude,visual,2.480384951112656,0.0652265059223431,0.9706434306726263,0.013618161994397643,-0.45252095373636175,0.0
storyscope_claude,interoceptive,1.1397564817088985,0.08433324773516189,0.9706434306726263,0.013618161994397643,0.7881646222447545,0.0
storyscope_deepseek,auditory,1.6557495097399593,0.06684747455351063,0.9609641415327187,0.018840762779488204,0.10503958623115392,1.5094560930289906e-19
storyscope_deepseek,gustatory,0.40604164584913893,0.03933231039331612,0.9609641415327187,0.018840762779488204,0.9159915131421902,0.0
storyscope_deepseek,olfactory,0.5221412440856136,0.04136765745216622,0.9609641415327187,0.018840762779488204,0.8308914929509968,0.0
storyscope_deepseek,haptic,1.1550347991420338,0.07630190781851574,0.9609641415327187,0.018840762779488204,0.3870258318707487,3.8044474117387627e-262
storyscope_deepseek,visual,2.5813211926637014,0.07455334566521088,0.9609641415327187,0.018840762779488204,-0.289504951246525,2.2912856090941424e-142
storyscope_deepseek,interoceptive,1.0994323477403254,0.08102480600880368,0.9609641415327187,0.018840762779488204,0.7116392517079935,0.0
storyscope_gemini,auditory,1.6029372193708882,0.05902106285626076,0.9619859890030508,0.016958097841323704,0.1161320972439188,1.4438080762634435e-23
storyscope_gemini,gustatory,0.4078206565261017,0.03605616571051654,0.9619859890030508,0.016958097841323704,0.9208794166348492,0.0
storyscope_gemini,olfactory,0.534865218396556,0.038208058023681886,0.9619859890030508,0.016958097841323704,0.8337050586774613,0.0
storyscope_gemini,haptic,1.1775015407364746,0.07233659472743727,0.9619859890030508,0.016958097841323704,0.3523732199087993,1.4356014279017585e-214
storyscope_gemini,visual,2.5530147095000544,0.06609148943827235,0.9619859890030508,0.016958097841323704,-0.32702041051681563,2.3458399133991062e-183
storyscope_gemini,interoceptive,1.0995550031335863,0.08373485541069318,0.9619859890030508,0.016958097841323704,0.7721972179791347,0.0
storyscope_gpt,auditory,1.650725451784803,0.0613678729764786,0.9693113714214276,0.01473011164093223,0.25881218444955123,2.6927386500797565e-113
storyscope_gpt,gustatory,0.39536362360740895,0.03341763834186219,0.9693113714214276,0.01473011164093223,0.9374094438763662,0.0
storyscope_gpt,olfactory,0.5128051336381417,0.036218907745251064,0.9693113714214276,0.01473011164093223,0.8651648299410125,0.0
storyscope_gpt,haptic,1.1489728055317487,0.06740186544726627,0.9693113714214276,0.01473011164093223,0.27276729946091366,4.104330419285468e-126
storyscope_gpt,visual,2.577775454632412,0.06621117684908334,0.9693113714214276,0.01473011164093223,-0.4565167198186666,0.0
storyscope_gpt,interoceptive,1.1068050165331436,0.08086163413039624,0.9693113714214276,0.01473011164093223,0.7821393982615134,0.0
storyscope_kimi,auditory,1.597292591602763,0.0678586494834046,0.9614501791154816,0.01804906681217974,0.18374312541978946,4.5256276760773463e-57
storyscope_kimi,gustatory,0.40949561956332114,0.04063265234819252,0.9614501791154816,0.01804906681217974,0.9137648175607234,0.0
storyscope_kimi,olfactory,0.5364747455228362,0.04369098626086731,0.9614501791154816,0.01804906681217974,0.8313264399697606,0.0
storyscope_kimi,haptic,1.2014220740379113,0.08119755539556905,0.9614501791154816,0.01804906681217974,0.34361693695442164,1.1252160037228738e-203
storyscope_kimi,visual,2.5823116646761886,0.07332966785199216,0.9614501791154816,0.01804906681217974,-0.2947282100803407,7.123665054538711e-148
storyscope_kimi,interoceptive,1.1120280136569822,0.0950325192394236,0.9614501791154816,0.01804906681217974,0.7543722839858605,0.0
