dataset,sense,score_mean,score_sd,coverage_mean,coverage_sd,entropy_corr_rho,entropy_corr_p,n_unique_authors
chicago,auditory,1.6869835612897899,0.09144748278450648,0.8221939182298164,0.04558597071759009,0.1921474926626611,2.54945116128067e-76,3153
chicago,gustatory,0.3812225620524481,0.04314495048445849,0.8221939182298164,0.04558597071759009,0.9258268649550094,0.0,3153
chicago,olfactory,0.5134689538228958,0.05100162891851556,0.8221939182298164,0.04558597071759009,0.7980166507289346,0.0,3153
chicago,haptic,1.4013193695520738,0.11756692580694993,0.8221939182298164,0.04558597071759009,0.12454482588151546,9.48768615784613e-33,3153
chicago,visual,3.1112255789168666,0.0914124552645896,0.8221939182298164,0.04558597071759009,-0.16151956974353135,3.555521925637869e-54,3153
chicago,interoceptive,1.3223771174585763,0.09389519398596768,0.8221939182298164,0.04558597071759009,0.5557235718414213,0.0,3153
fanfics,auditory,1.6831186629372938,0.10941078336886671,0.9512923835112512,0.05103267802791664,0.2888436919845616,2.8143320410229992e-98,2562
fanfics,gustatory,0.4257638064282062,0.05734963158033367,0.9512923835112512,0.05103267802791664,0.8931808752758342,0.0,2562
fanfics,olfactory,0.5503103573874312,0.06057659200009294,0.9512923835112512,0.05103267802791664,0.8083734386805285,0.0,2562
fanfics,haptic,1.1863611910319827,0.12607368887146003,0.9512923835112512,0.05103267802791664,0.25184632407489405,2.1592842482509483e-74,2562
fanfics,visual,2.5275538139159126,0.13623419480668666,0.9512923835112512,0.05103267802791664,-0.32621367432164844,2.3468438623699292e-126,2562
fanfics,interoceptive,1.2480937535514751,0.1482844259813435,0.9512923835112512,0.05103267802791664,0.6997511470952131,0.0,2562
simplestories,auditory,1.73354601330814,0.11595348678296279,0.9821386091381701,0.019180423587181358,0.05851194351311944,4.7563500428413346e-09,546
simplestories,gustatory,0.40533205180389004,0.07166561416051065,0.9821386091381701,0.019180423587181358,0.8860647126646471,0.0,546
simplestories,olfactory,0.53676292655539,0.07713118158095526,0.9821386091381701,0.019180423587181358,0.8283603466116035,0.0,546
simplestories,haptic,1.18085110067198,0.11675847720883958,0.9821386091381701,0.019180423587181358,0.5126706713547067,0.0,546
simplestories,visual,2.69002923729394,0.11383315214517851,0.9821386091381701,0.019180423587181358,-0.1624489309004893,4.238200534928721e-60,546
simplestories,interoceptive,1.17940834238906,0.11911019665119388,0.9821386091381701,0.019180423587181358,0.4917446950534469,0.0,546
storyscope,auditory,1.6382850686984005,0.07163684303230759,0.9648707739978828,0.017081865531954062,0.21620352863774878,0.0,12736
storyscope,gustatory,0.4135804954496015,0.041332358351584955,0.9648707739978828,0.017081865531954062,0.933712091117066,0.0,12736
storyscope,olfactory,0.5332921985844774,0.04260764790613915,0.9648707739978828,0.017081865531954062,0.8658599623052495,0.0,12736
storyscope,haptic,1.1602691357499026,0.07706428926321615,0.9648707739978828,0.017081865531954062,0.19176302376713247,1.7474579271364982e-302,12736
storyscope,visual,2.5549785388179247,0.07932870933216285,0.9648707739978828,0.017081865531954062,-0.4860128917475437,0.0,12736
storyscope,interoceptive,1.1115121654127846,0.08644548154027674,0.9648707739978828,0.017081865531954062,0.7286126929675618,0.0,12736
storyscope_claude,auditory,1.6847704520650706,0.0615484796917164,0.9706434306726263,0.013618161994397643,0.23747341056628746,4.965305915778269e-95,2544
storyscope_claude,gustatory,0.44921962069967447,0.03492322244596729,0.9706434306726263,0.013618161994397643,0.9329157359881122,0.0,2544
storyscope_claude,olfactory,0.5602043696056295,0.03748591477452856,0.9706434306726263,0.013618161994397643,0.8657600499271636,0.0,2544
storyscope_claude,haptic,1.1183650267329897,0.060030915221739624,0.9706434306726263,0.013618161994397643,0.31086917777515566,6.65194632971335e-165,2544
storyscope_claude,visual,2.480384951112656,0.0652265059223431,0.9706434306726263,0.013618161994397643,-0.45252095373636175,0.0,2544
storyscope_claude,interoceptive,1.1397564817088985,0.08433324773516189,0.9706434306726263,0.013618161994397643,0.7881646222447545,0.0,2544
storyscope_deepseek,auditory,1.6557495097399593,0.06684747455351063,0.9609641415327187,0.018840762779488204,0.10503958623115392,1.5094560930289906e-19,2545
storyscope_deepseek,gustatory,0.40604164584913893,0.03933231039331612,0.9609641415327187,0.018840762779488204,0.9159915131421902,0.0,2545
storyscope_deepseek,olfactory,0.5221412440856136,0.04136765745216622,0.9609641415327187,0.018840762779488204,0.8308914929509968,0.0,2545
storyscope_deepseek,haptic,1.1550347991420338,0.07630190781851574,0.9609641415327187,0.018840762779488204,0.3870258318707487,3.8044474117387627e-262,2545
storyscope_deepseek,visual,2.5813211926637014,0.07455334566521088,0.9609641415327187,0.018840762779488204,-0.289504951246525,2.2912856090941424e-142,2545
storyscope_deepseek,interoceptive,1.0994323477403254,0.08102480600880368,0.9609641415327187,0.018840762779488204,0.7116392517079935,0.0,2545
storyscope_gemini,auditory,1.6029372193708882,0.05902106285626076,0.9619859890030508,0.016958097841323704,0.1161320972439188,1.4438080762634435e-23,2549
storyscope_gemini,gustatory,0.4078206565261017,0.03605616571051654,0.9619859890030508,0.016958097841323704,0.9208794166348492,0.0,2549
storyscope_gemini,olfactory,0.534865218396556,0.038208058023681886,0.9619859890030508,0.016958097841323704,0.8337050586774613,0.0,2549
storyscope_gemini,haptic,1.1775015407364746,0.07233659472743727,0.9619859890030508,0.016958097841323704,0.3523732199087993,1.4356014279017585e-214,2549
