class_name,sense,coef_mean,coef_std
Chicago,auditory,0.6509894172265739,0.14336140619567747
Chicago,gustatory,0.05002391806520209,0.10446781154034074
Chicago,olfactory,-1.094500185710028,0.17775951026656353
Chicago,haptic,-0.9247064151324496,0.17272911960816
Chicago,visual,8.48198373107324,0.20842631960352678
Chicago,interoceptive,3.1489590061194406,0.11403321426220968
Fanfics,auditory,-0.0848473355567114,0.009524571189459425
Fanfics,gustatory,-0.42355052473198296,0.051070932924680006
Fanfics,olfactory,0.03657179247757002,0.05834487121943998
Fanfics,haptic,0.33794576016781586,0.05012363401831334
Fanfics,visual,-1.4267425600963195,0.09549072544809642
Fanfics,interoceptive,1.0343269113260098,0.03312734932451128
Simplestories,auditory,0.7189074013477351,0.02239520525399967
Simplestories,gustatory,0.24702454719348613,0.040260215142883235
Simplestories,olfactory,-0.3037450043062636,0.023329018413176077
Simplestories,haptic,-1.281880187871502,0.0435775263914066
Simplestories,visual,4.248671914379235,0.08470377544369925
Simplestories,interoceptive,1.0003603951368703,0.04204972087786862
Storyscope Claude,auditory,0.45409649592697965,0.024534156019329574
Storyscope Claude,gustatory,0.7038808926676875,0.038417976263813
Storyscope Claude,olfactory,0.9950134090459585,0.03899679694423272
Storyscope Claude,haptic,0.20309770974825056,0.07718650572456698
Storyscope Claude,visual,-5.0226158847363065,0.04937314941169727
Storyscope Claude,interoceptive,-2.250729898790476,0.030064154912392185
Storyscope Deepseek,auditory,0.2398385588701971,0.03753842646911878
Storyscope Deepseek,gustatory,0.6028564560190486,0.022510078525971616
Storyscope Deepseek,olfactory,-0.5590850807014599,0.028189389786242428
Storyscope Deepseek,haptic,-0.061091304118636114,0.02082147734401244
Storyscope Deepseek,visual,-0.16854436984777826,0.03484030681630079
Storyscope Deepseek,interoceptive,-0.8352143471921993,0.030932247109632428
Storyscope Gemini,auditory,-0.9177505967173498,0.031818358374437826
Storyscope Gemini,gustatory,-0.7786454931604609,0.045798794066194186
Storyscope Gemini,olfactory,0.9598355316319422,0.049301745274562395
Storyscope Gemini,haptic,1.0541174884513658,0.029646524757100615
Storyscope Gemini,visual,-3.9601949035178405,0.07649143329467747
Storyscope Gemini,interoceptive,-1.2973669009579303,0.03745057724497873
Storyscope Gpt,auditory,0.03623322515913404,0.03172590728766182
Storyscope Gpt,gustatory,0.1413503604422736,0.023787889969714704
Storyscope Gpt,olfactory,-0.6022491344396286,0.01728151922127
Storyscope Gpt,haptic,-0.09914618444714793,0.026866517995828804
Storyscope Gpt,visual,-0.14470669758941562,0.05447213280198982
Storyscope Gpt,interoceptive,-0.29118153971111616,0.019035633144513238
Storyscope Kimi,auditory,-1.0974671662565558,0.041483662004001415
Storyscope Kimi,gustatory,-0.5429401564952594,0.0327284944488093
Storyscope Kimi,olfactory,0.5681586720019027,0.043315139837531914
Storyscope Kimi,haptic,0.7716631332023071,0.030849356539384785
Storyscope Kimi,visual,-2.0078512296648183,0.05941285181961791
Storyscope Kimi,interoceptive,-0.5091536259305967,0.026137883377892454
