class_label,class_name,metric,mean,std
0,Chicago,precision,0.9996074582924436,0.0007850834151128527
0,Chicago,recall,0.9998031496062992,0.0003937007874015741
0,Chicago,f1,0.9997050626874795,0.00039304850302452157
1,Fanfics,precision,0.9753907536166329,0.006661438668337914
1,Fanfics,recall,0.9643996934011568,0.00528324063380659
1,Fanfics,f1,0.9698395065844327,0.00348253335534574
2,Generated,precision,0.9652197542425001,0.005586979839018929
2,Generated,recall,0.9758044348438746,0.006895864973409423
2,Generated,f1,0.970457066600131,0.0037162166260303
