class_label,class_name,metric,mean,std
0,Chicago,precision,0.9916262779091823,0.004208132272829653
0,Chicago,recall,0.9992133726647001,0.0007358224949407774
0,Chicago,f1,0.9954003322802641,0.002056608998507785
1,Fanfics,precision,0.7539228193250531,0.007868891920296774
1,Fanfics,recall,0.7153707832981053,0.02807117728587794
1,Fanfics,f1,0.7339545010975055,0.018212612277963343
2,Generated,precision,0.732190176897501,0.015760191084030782
2,Generated,recall,0.7637673332868791,0.006063819977473255
2,Generated,f1,0.7475323968097388,0.00825905749477392
