class_label,class_name,metric,mean,std
0,Chicago,precision,0.9922013554534456,0.002875971560362622
0,Chicago,recall,1.0,0.0
0,Chicago,f1,0.9960833221413365,0.0014486907106969205
1,Fanfics,precision,0.7995297707066822,0.005704622625991899
1,Fanfics,recall,0.7663234850068521,0.015688457433389508
1,Fanfics,f1,0.7824923633953008,0.008931922313120675
2,Simplestories,precision,0.666201159396608,0.018933263274699363
2,Simplestories,recall,0.5706174172918651,0.03461173065774441
2,Simplestories,f1,0.6140306800001925,0.02161739084787107
3,Storyscope Claude,precision,0.801930282335257,0.00915166113638907
3,Storyscope Claude,recall,0.8349770437987287,0.019636505462262564
3,Storyscope Claude,f1,0.8180712165423735,0.013638420354084272
4,Storyscope Deepseek,precision,0.6944272910443635,0.022558917351025165
4,Storyscope Deepseek,recall,0.7301337885861613,0.013646357897769572
4,Storyscope Deepseek,f1,0.7117813216758275,0.01794239813113968
5,Storyscope Gemini,precision,0.7356554096806361,0.011756621727955947
5,Storyscope Gemini,recall,0.7283584574052137,0.02882954466395171
5,Storyscope Gemini,f1,0.7318683101323298,0.019910051297286388
6,Storyscope Gpt,precision,0.7022557937918142,0.016710908572756023
6,Storyscope Gpt,recall,0.7712418414512345,0.02614225240140678
6,Storyscope Gpt,f1,0.7349849144378136,0.01866754347801723
7,Storyscope Kimi,precision,0.726699928286626,0.01244091507629741
7,Storyscope Kimi,recall,0.7232480895640256,0.026226258929469844
7,Storyscope Kimi,f1,0.7247756509954896,0.01690114722939713
