class_label,class_name,metric,mean,std
0,Chicago,precision,0.9974542226167914,0.002275578150252851
0,Chicago,recall,0.9996066863323501,0.00048170889730248185
0,Chicago,f1,0.9985278207108117,0.001116807238139752
1,Fanfics,precision,0.6826469390674808,0.01426254540652835
1,Fanfics,recall,0.748621466564467,0.01819272023656789
1,Fanfics,f1,0.7139193913912039,0.010948043868823228
2,Simplestories,precision,0.6166926681818659,0.013733174952966519
2,Simplestories,recall,0.5702082317143986,0.03622730225908133
2,Simplestories,f1,0.5921238693999321,0.024175527974332936
3,Storyscope,precision,0.684435199032871,0.024144032368507817
3,Storyscope,recall,0.6675820113193816,0.015454010266406418
3,Storyscope,f1,0.6756680901763507,0.015549165148858063
