class_name,sense,coef_mean,coef_std
Chicago,auditory,0.4392620334176144,0.1364208952719417
Chicago,gustatory,-0.10197075447979816,0.13764516201835952
Chicago,olfactory,-0.8495345100902266,0.13471895318902172
Chicago,haptic,-0.38429341921087207,0.11500570374278918
Chicago,visual,6.747366048547278,0.2554370791300637
Chicago,interoceptive,2.180275901226656,0.09712986710642887
Fanfics,auditory,-0.35412665936939336,0.04929546005595002
Fanfics,gustatory,-0.19701471913746216,0.04915877536075486
Fanfics,olfactory,0.32975242768594437,0.0763985681976374
Fanfics,haptic,0.5527966148390858,0.03933020416440708
Fanfics,visual,-3.721854948316323,0.1229051365016075
Fanfics,interoceptive,-0.07874255153103116,0.04922936953125852
Simplestories,auditory,0.39391648712405336,0.04385329721453502
Simplestories,gustatory,0.1579144655974612,0.04383217528591015
Simplestories,olfactory,0.10072487723844441,0.022329021720871135
Simplestories,haptic,-0.7953310558490388,0.04766225149884941
Simplestories,visual,1.3154961386263473,0.052058479844167393
Simplestories,interoceptive,-0.16107790704945882,0.04045241891918783
Storyscope,auditory,-0.4790518611722751,0.059644288862412104
Storyscope,gustatory,0.1410710080198028,0.055001332568681734
Storyscope,olfactory,0.41905720516583617,0.043191737695513786
Storyscope,haptic,0.6268278602208281,0.04979286828597808
Storyscope,visual,-4.3410072388573,0.11654105191659343
Storyscope,interoceptive,-1.9404554426461829,0.03064715021201884
