class_label,class_name,metric,mean,std
0,Chicago,precision,0.9982333676231196,0.0009609796973404402
0,Chicago,recall,0.9996064927724742,0.0004819460559399533
0,Chicago,f1,0.9989190147492206,0.0003676289335183675
1,Fanfics,precision,0.7943438121326606,0.013604295389703067
1,Fanfics,recall,0.8170772071632637,0.01396955963629617
1,Fanfics,f1,0.8054314201585981,0.009627564410121005
2,Generated,precision,0.8127412274732198,0.012262426377648279
2,Generated,recall,0.7879675438800239,0.017506949908249244
2,Generated,f1,0.8000273925388995,0.011067723992772277
