class_name,sense,coef_mean,coef_std
Chicago,auditory,0.008333759297644083,0.12647240465818502
Chicago,gustatory,-0.06454523011030558,0.11010708024650241
Chicago,olfactory,-0.4191698556405942,0.07412832074619356
Chicago,haptic,-0.028048288113549445,0.24029556630301924
Chicago,visual,3.828179761062689,0.27720899890965667
Chicago,interoceptive,1.3716400797201262,0.13706333053752814
Fanfics,auditory,-0.07371508414061698,0.06626355996165013
Fanfics,gustatory,-0.16991234022969975,0.06317444510297313
Fanfics,olfactory,0.2186291983728439,0.0423149436751979
Fanfics,haptic,0.25668390284430687,0.12584780095328923
Fanfics,visual,-2.6154910961955755,0.18127831602917266
Fanfics,interoceptive,-0.019240917192764335,0.08408611891158908
Generated,auditory,0.06538132484297558,0.06298141874936553
Generated,gustatory,0.23445757034000314,0.05085754468036694
Generated,olfactory,0.20054065726775053,0.04092671246675406
Generated,haptic,-0.22863561473075453,0.11484775233281432
Generated,visual,-1.212688664867109,0.102432412331055
Generated,interoceptive,-1.3523991625273575,0.0553227835674757
