class_label,class_name,metric,mean,std
0,Chicago,precision,0.9972571464240616,0.0005992534495536044
0,Chicago,recall,0.9998899889988998,0.0002200220022002153
0,Chicago,f1,0.9985717301356039,0.0003198902147642829
1,Fanfics,precision,0.8277589837732557,0.00990532050960044
1,Fanfics,recall,0.8533398359098431,0.010460388906454458
1,Fanfics,f1,0.8403481745375349,0.00990272837240056
2,Generated,precision,0.8505289529416228,0.010509748664532631
2,Generated,recall,0.8219808276920153,0.010576668533909159
2,Generated,f1,0.8360050694175705,0.010304097996973174
