class_name,sense,coef_mean,coef_std
Chicago,be,-3.80987714100809,0.15038129783647558
Chicago,know,0.6633985295818813,0.148593609085312
Chicago,like,0.43325221665934155,0.10223160709482704
Chicago,look,0.6131781958171642,0.05027280876656209
Chicago,the,-4.932382166066329,0.23307936482185385
Chicago,—,2.465106092117674,0.4062800791058109
Fanfics,be,2.135732937815761,0.07221701203300034
Fanfics,know,-0.128616672858967,0.06629574545466416
Fanfics,like,-0.25508960738249703,0.05075310470749747
Fanfics,look,-0.42802918817443214,0.026471890499392272
Fanfics,the,0.7171322198987354,0.1052632364965481
Fanfics,—,-1.9721564126645128,0.3011914296807424
Generated,be,1.6741442031923222,0.07878586541726565
Generated,know,-0.5347818567229057,0.08260328746810126
Generated,like,-0.17816260927684352,0.05357059248061198
Generated,look,-0.1851490076427044,0.02858226322529757
Generated,the,4.21524994616753,0.12869479559398742
Generated,—,-0.4929496794531292,0.10512944724808373
