class_label,class_name,metric,mean,std
0,Chicago,precision,0.9973660128350064,0.0006382222263294105
0,Chicago,recall,0.9996699669966997,0.0002694708187880226
0,Chicago,f1,0.9985165587291686,0.00037218814648042585
1,Fanfics,precision,0.7695243906102387,0.013487938342814936
1,Fanfics,recall,0.7579510950544697,0.01027195697024108
1,Fanfics,f1,0.7636453863531739,0.010294937276136586
2,Generated,precision,0.7616943617753219,0.010284596409904938
2,Generated,recall,0.7712593989173271,0.0160218569757617
2,Generated,f1,0.7664050151817123,0.012141072321665499
