class_name,sense,coef_mean,coef_std
Chicago,auditory,-0.3401827328241504,0.12685969131412872
Chicago,gustatory,0.31720449051354976,0.08496501444861379
Chicago,olfactory,-0.9004942377725655,0.04157866910392697
Chicago,haptic,-0.1809433476420062,0.07029751413041922
Chicago,visual,5.429549819456319,0.15772283349385324
Chicago,interoceptive,1.8804093790602145,0.0668759245208047
Fanfics,auditory,0.11091647882253952,0.06074934694992318
Fanfics,gustatory,-0.35374837606309084,0.044388922442820555
Fanfics,olfactory,0.3112349984898843,0.022225185329694155
Fanfics,haptic,0.46141691034420074,0.03939098514292135
Fanfics,visual,-3.8046308856414717,0.08567663950815048
Fanfics,interoceptive,-0.16671546283304634,0.034244320438452935
Generated,auditory,0.22926625400160652,0.06695404038282042
Generated,gustatory,0.03654388554953471,0.0437812211347708
Generated,olfactory,0.5892592392827041,0.022404136250971374
Generated,haptic,-0.2804735627021941,0.035564908523271065
Generated,visual,-1.624918933814851,0.07359888741175052
Generated,interoceptive,-1.7136939162271645,0.041656278739308654
