class_label,class_name,metric,mean,std
0,Chicago,precision,0.9996700274755348,0.000269421460652745
0,Chicago,recall,0.9997799779977997,0.0002694708187880226
0,Chicago,f1,0.9997249876211157,0.000245992078592309
1,Fanfics,precision,0.987827776521953,0.001726593622867702
1,Fanfics,recall,0.9818459446384924,0.002912313874823657
1,Fanfics,f1,0.9848245159379093,0.0015930923179219105
2,Generated,precision,0.9821804454145571,0.002616779402151641
2,Generated,recall,0.9880074083357704,0.0016098956664159067
2,Generated,f1,0.9850823788715022,0.0013585694206574947
