class_label,class_name,metric,mean,std
0,Chicago,precision,0.9971468956934884,0.0010624230251688196
0,Chicago,recall,0.9995599559955994,0.0006414688553185011
0,Chicago,f1,0.9983518896113097,0.0008327258286537862
1,Fanfics,precision,0.7787035854467874,0.008674222275567934
1,Fanfics,recall,0.7637805277500782,0.008564326999793585
1,Fanfics,f1,0.7711192774678924,0.005952853007285274
2,Generated,precision,0.7682130101312346,0.005962866729551505
2,Generated,recall,0.7809450895557359,0.011800500274007846
2,Generated,f1,0.7744781078070131,0.006995211879753954
