class_label,class_name,metric,mean,std
0,Chicago,precision,1.0,0.0
0,Chicago,recall,0.9998899889988998,0.00022002200220021527
0,Chicago,f1,0.9999449793672628,0.00011004126547455861
1,Fanfics,precision,0.9858203347352029,0.001691705988229413
1,Fanfics,recall,0.9793161759764308,0.0045018948424446715
1,Fanfics,f1,0.9825546879080284,0.0029841673456945804
2,Generated,precision,0.9794684438420743,0.004399053646518733
2,Generated,recall,0.9860270892251581,0.0014592357870470453
2,Generated,f1,0.9827339748578001,0.0028347688008702287
