class_label,class_name,metric,mean,std
0,Chicago,precision,0.9966014164131991,0.0008032515189788038
0,Chicago,recall,1.0,0.0
0,Chicago,f1,0.9982976535437693,0.0004030604704865394
1,Fanfics,precision,0.8193802778268668,0.007219349138871633
1,Fanfics,recall,0.8426677395312454,0.0038117789567013965
1,Fanfics,f1,0.8308418032022583,0.004263936045212924
2,Generated,precision,0.840215020320249,0.003908128908590296
2,Generated,recall,0.813399606333776,0.008966589481876104
2,Generated,f1,0.8265660155373196,0.005434955915268482
