class_name,sense,coef_mean,coef_std
Chicago,Mr.,0.14442670278299563,0.003608355891832128
Chicago,a,-0.2895462637041686,0.00864034996980098
Chicago,and,-0.32346575976725794,0.004915265768934876
Chicago,arm,0.09554597927899638,0.0059446931480687405
Chicago,as,-0.2157060366379505,0.005744621939055499
Chicago,ask,0.09339422162348487,0.003685638366142872
Chicago,at,-0.23152954078975857,0.004149711432833018
Chicago,away,0.09601024804709957,0.005086752080720413
Chicago,be,-0.28107970098573454,0.0017289190945132488
Chicago,begin,0.06217353734535012,0.007442947928754074
Chicago,bring,0.06360224211154884,0.003551194339012052
Chicago,but,-0.23576544437325597,0.006791305342870913
Chicago,close,0.028000617356151725,0.006252476146476972
Chicago,come,0.15595300624037028,0.010594356120689328
Chicago,day,0.04053692777505458,0.008992522701043518
Chicago,do,-0.2476342396657162,0.006217437006427071
Chicago,door,0.08718840781074569,0.008397162241684164
Chicago,eye,0.05419995300357068,0.01293356630291922
Chicago,face,0.11473302728207516,0.005477668126783916
Chicago,feel,-0.052063769731671615,0.0035544583748690585
Chicago,find,0.02049606619999457,0.00710358716705483
Chicago,for,-0.2269256324303448,0.008605278873252969
Chicago,girl,0.013216733032467076,0.00465101336728133
Chicago,good,0.15365232911429036,0.007490775324475747
Chicago,great,0.17010582457496964,0.026006839056357693
Chicago,hand,0.10601450128059568,0.004892715159989664
Chicago,have,-0.21025041150534793,0.004893257592298157
Chicago,he,-0.21769905136289663,0.007834168914235726
Chicago,head,0.1618532349192291,0.003701231319163062
Chicago,hear,0.10259078114610835,0.014839383836064342
Chicago,her,-0.15748683896117424,0.012068388253536169
Chicago,his,-0.17028801096379356,0.005612649173604443
Chicago,hold,0.043110468101602975,0.008551357832048233
Chicago,home,0.03103858267706779,0.007738585535780707
Chicago,house,0.11453002364399627,0.008591884854215031
Chicago,i,-0.20360099089286493,0.006356538547678818
Chicago,in,-0.30405129900807637,0.0013383301532536721
Chicago,it,-0.2546562062186343,0.004669952718375985
Chicago,know,0.1923001255711678,0.009442697074871192
Chicago,leave,0.09474556359723904,0.010466737025103614
Chicago,let,0.04183817611489772,0.01802421245698872
Chicago,life,0.06300357886455703,0.025110425384386452
Chicago,light,0.05197525329224353,0.0043567202562959225
Chicago,like,0.1255697344497985,0.00928339178653817
Chicago,little,0.17771985914715807,0.02988789705020112
Chicago,long,0.1336278052821185,0.006542300827699828
Chicago,look,0.10597426968722845,0.005461615532874808
Chicago,love,-0.04733636968343796,0.0026415826050832907
Chicago,man,0.16095153424642994,0.01698696223782376
Chicago,mean,0.13881201595563206,0.007648709219288151
Chicago,mind,0.12246251131066385,0.005355827912416485
Chicago,moment,0.08084648141784802,0.00657695107900195
Chicago,need,0.05130876125403505,0.009475660315232483
Chicago,night,0.05346503946638914,0.019776552481487613
Chicago,not,-0.16771727819900423,0.003826553868442097
Chicago,of,-0.24055141569468885,0.007310734796140377
Chicago,oh,0.13702305626183062,0.007548527799345742
Chicago,old,0.07183648526324755,0.00765152024576315
Chicago,on,-0.22443110379507467,0.0038030610204064937
Chicago,open,0.08733820419266788,0.0031466113442112213
Chicago,people,0.020300360805289484,0.005892447225465453
Chicago,place,0.0797156073228395,0.004549154972315435
Chicago,right,0.2958416535992647,0.048774271096020935
Chicago,room,0.0953249950554488,0.005129816133754535
Chicago,run,0.0330384491499216,0.02610891744689298
Chicago,she,-0.17368019020523712,0.008361467127107506
Chicago,sit,0.08297272715226088,0.00526958083697405
Chicago,smile,-0.0692010020497368,0.009504631372597685
Chicago,speak,0.10306646704702575,0.009350405432816117
Chicago,stand,0.12803285215821333,0.031585354495195485
Chicago,start,0.04925645391317822,0.011628246872642476
Chicago,stop,0.0211399137832691,0.02032933460038334
Chicago,talk,0.12706477139750993,0.005262893223150454
Chicago,tell,0.16372957600702248,0.005987689399873311
Chicago,that,-0.24514590848213094,0.0055787960126610055
Chicago,the,-0.3012400728727028,0.007269934142125944
Chicago,they,-0.22155257019969365,0.008374912702394911
Chicago,thing,0.0985964107362379,0.011691934994559441
Chicago,think,0.13937268944614162,0.004676287930766627
Chicago,time,0.13071243589822584,0.013342721061141063
Chicago,to,-0.32433851876423186,0.006053067243573841
Chicago,try,0.06846054379638662,0.01159617162061693
Chicago,turn,0.10523329829551623,0.009321448754528179
Chicago,use,0.15395561612574238,0.006228787071156917
Chicago,voice,0.056095332141219686,0.003586472799614714
Chicago,wait,0.046175704409218296,0.015181994504994486
Chicago,walk,0.04008966761955103,0.006378641842316774
Chicago,want,0.08406353295752828,0.0087436471036499
Chicago,watch,0.05133147313675194,0.002320674710589413
Chicago,way,0.12068308585538094,0.009869705584291552
Chicago,with,-0.24960114921251222,0.004349826861951621
Chicago,woman,0.024461121403982086,0.025714160321976324
Chicago,word,0.03507347601170092,0.01078702105305538
Chicago,work,0.11542276928122983,0.005208854761730562
Chicago,year,0.10799509189937358,0.005502932283418697
Chicago,yes,0.11046532310175819,0.006500093395065294
Chicago,you,-0.19882060714833708,0.001873529304139002
Chicago,—,0.20814408500661621,0.004905194341214123
Chicago,’,0.21888226112862844,0.0023927960945073303
Chicago,…,0.11690027224783997,0.0017762403963852002
Fanfics,Mr.,-0.04188761130205569,0.00442894037054909
Fanfics,a,-1.680460153196039,0.05986381202910121
Fanfics,and,0.6667722169434855,0.026283232695803037
Fanfics,arm,0.21161311815951186,0.02458290192104574
Fanfics,as,0.5098975439441744,0.02877811889662296
Fanfics,ask,-0.2745047511611082,0.021728640834825223
Fanfics,at,0.23136711950016958,0.04800312661766164
Fanfics,away,0.08150160291759839,0.025803236378480525
Fanfics,be,0.8334340313985302,0.04847318983548752
Fanfics,begin,-0.3470017936608203,0.0216242192562524
Fanfics,bring,-0.05162917082226749,0.028324156430936675
Fanfics,but,0.13442827876905086,0.018625109862522256
Fanfics,close,-0.025323279531507197,0.01132247151927498
Fanfics,come,-0.055567986545652995,0.05900952231472635
Fanfics,day,-0.10819737328321533,0.028161838256668986
Fanfics,do,0.6271983099646828,0.02804926228627568
Fanfics,door,0.055962377208501723,0.025355922588940472
Fanfics,eye,0.2006907369869344,0.02251239486635548
Fanfics,face,-0.04038478798088917,0.02193724206844882
Fanfics,feel,-0.541954112097095,0.035308593036648836
Fanfics,find,-0.13002928643504177,0.045487151952423144
Fanfics,for,0.4308937546021639,0.031004571987245023
Fanfics,girl,0.040514235150894404,0.02186883075759618
Fanfics,good,0.008883416258272023,0.009736404778309221
Fanfics,great,-0.00925030527558959,0.013302846669415684
Fanfics,hand,0.06069908369937501,0.02605938728137637
Fanfics,have,-0.14413115122621026,0.02136404171826215
Fanfics,he,-0.054638742169277076,0.04371471710834208
Fanfics,head,0.2718994575722714,0.05573971156632806
Fanfics,hear,-0.04686100586257617,0.02010228401660792
Fanfics,her,0.13649911530015196,0.04725370129381807
Fanfics,his,0.5516603970478972,0.05449790419144484
Fanfics,hold,-0.15720041745587104,0.015982593592967834
Fanfics,home,-0.004139009241442655,0.014223333019733699
Fanfics,house,-0.06617236529498201,0.03894936650457329
Fanfics,i,-0.07429460490507403,0.019922097395413695
Fanfics,in,-0.008636668955640962,0.023228051384641967
Fanfics,it,0.16834887128429687,0.03511500765004692
Fanfics,know,0.04195707839702712,0.03342243373099013
Fanfics,leave,0.024471689250606145,0.013923544133641377
Fanfics,let,0.021044625830851992,0.018812442278835065
Fanfics,life,-0.0701859906004593,0.018357848003713692
Fanfics,light,-0.08692639416064725,0.02643972944149327
Fanfics,like,0.0018504160388310535,0.03717545975150102
Fanfics,little,0.08063197863019181,0.03556469240439473
Fanfics,long,0.04279738394634931,0.0241387119456515
Fanfics,look,-0.20658690259471285,0.03215766697407891
Fanfics,love,0.10603715124063091,0.018329892995359618
Fanfics,man,-0.14395839806729746,0.031145743413553095
Fanfics,mean,-0.1597057775450075,0.02138393994863144
Fanfics,mind,-0.07822555118763286,0.045618064627575595
Fanfics,moment,-0.09482730778669292,0.020204958240322146
Fanfics,need,-0.028696442353324907,0.017064775053654495
Fanfics,night,-0.026074798152097622,0.01673097909131899
Fanfics,not,-0.32761337368420035,0.02489345008836908
Fanfics,of,0.8456625704402709,0.031094453683336593
Fanfics,oh,0.2860514332837932,0.019242363330324457
Fanfics,old,-0.2349411979593788,0.05675139255138964
Fanfics,on,0.4181664684179842,0.023763158883948084
Fanfics,open,-0.21370990199439777,0.017718702776996026
Fanfics,people,-0.046922689982422695,0.011081836345272504
Fanfics,place,-0.010271738877690227,0.046755350645615826
Fanfics,right,-0.05217494883695941,0.05441431335999329
Fanfics,room,-0.11260154359151324,0.023090043933533037
Fanfics,run,-0.03462989601214643,0.015868373374844095
Fanfics,she,0.015076817499509815,0.05684866683202855
Fanfics,sit,-0.20179045791051395,0.022593007239010338
Fanfics,smile,0.07235408673600736,0.02314501786195581
Fanfics,speak,-0.1243171380881262,0.018232358850784412
Fanfics,stand,-0.2700248891269581,0.03007149200139208
Fanfics,start,0.10216744764075036,0.027629200094890553
Fanfics,stop,-0.08312272188432682,0.011204533087824948
Fanfics,talk,-0.07833177653401965,0.03195377259898809
Fanfics,tell,-0.249365403442129,0.04254792040438719
Fanfics,that,-0.050622772295825624,0.04909086469703069
Fanfics,the,-1.4598844408798306,0.033378403172744424
Fanfics,they,-0.10007671497444841,0.035268540827989206
Fanfics,thing,-0.08209617718007156,0.019723156330319826
Fanfics,think,-0.294858525782276,0.03998126238869801
Fanfics,time,0.1068828940096509,0.0370141969055689
Fanfics,to,1.2784112736207143,0.05671138857649618
Fanfics,try,0.0033404158634386645,0.022072607683419565
Fanfics,turn,-0.1050482676252626,0.02840678760217583
Fanfics,use,-0.16885777622295703,0.036550324824007475
Fanfics,voice,-0.1068489632087152,0.015910548751051273
Fanfics,wait,-0.11642375689479587,0.02389921517104904
Fanfics,walk,-0.0023068110046107378,0.02195773587951216
Fanfics,want,-0.25016526658258875,0.016060287003940438
Fanfics,watch,-0.12400658487345431,0.026073644104719868
Fanfics,way,-0.11630835680391663,0.017492401782249995
Fanfics,with,-0.07972825871962647,0.010762275571561739
Fanfics,woman,0.05576432871104973,0.02015402085540087
Fanfics,word,0.05597460524014676,0.015582806954690344
Fanfics,work,-0.2933391079619571,0.02326059440154776
Fanfics,year,-0.03164442918197217,0.03006579173543817
Fanfics,yes,-0.12046943883777986,0.02931089162145081
Fanfics,you,0.41136261926235784,0.016355331329066008
Fanfics,—,-0.06062511848615455,0.005715852480391392
Fanfics,’,-0.05832953867688619,0.005537028612436946
Fanfics,…,-0.03178574137693561,0.002740871411254514
Generated,Mr.,-0.1025390914809398,0.003621794593589654
Generated,a,1.9700064169002078,0.05443111929097336
Generated,and,-0.3433064571762284,0.024529905890973907
Generated,arm,-0.30715909743850817,0.024968965185160834
Generated,as,-0.29419150730622423,0.029814528471772857
Generated,ask,0.1811105295376234,0.020051309871846213
Generated,at,0.00016242128958922976,0.046197023613409084
Generated,away,-0.17751185096469774,0.02729451603639735
Generated,be,-0.5523543304127952,0.04923571333880014
Generated,begin,0.2848282563154702,0.01774845852031817
Generated,bring,-0.011973071289281222,0.025006585049365482
Generated,but,0.10133716560420528,0.01836658788472307
Generated,close,-0.002677337824644354,0.01394944842112647
Generated,come,-0.10038501969471711,0.05716999948223239
Generated,day,0.06766044550816093,0.02615789368823976
Generated,do,-0.3795640702989663,0.033605116794608765
Generated,door,-0.14315078501924755,0.022328030684085894
Generated,eye,-0.2548906899905049,0.016965616011514584
Generated,face,-0.07434823930118568,0.019027722982562115
Generated,feel,0.5940178818287666,0.03692309362866825
Generated,find,0.10953322023504761,0.045047868101625116
Generated,for,-0.20396812217181948,0.03382443775168479
Generated,girl,-0.053730968183361635,0.023039747359656377
Generated,good,-0.16253574537256216,0.008550978837966154
Generated,great,-0.1608555192993801,0.038746282487474054
Generated,hand,-0.16671358497997063,0.02430343056610421
Generated,have,0.35438156273155835,0.02424957253913655
Generated,he,0.27233779353217397,0.04098098172292973
Generated,head,-0.43375269249150056,0.059350507090164484
Generated,hear,-0.055729775283532026,0.02529122815770679
Generated,her,0.02098772366102224,0.05030918885794428
Generated,his,-0.3813723860841033,0.05724052198862958
Generated,hold,0.11408994935426794,0.021061978707913105
Generated,home,-0.026899573435625258,0.019373927253550603
Generated,house,-0.048357658349014385,0.03463918694710412
Generated,i,0.2778955957979393,0.025759316410498074
Generated,in,0.3126879679637173,0.02359066108576973
Generated,it,0.08630733493433733,0.037516892246588385
Generated,know,-0.23425720396819463,0.04233144864981435
Generated,leave,-0.1192172528478449,0.01739943137713314
Generated,let,-0.06288280194574988,0.019636358726303323
Generated,life,0.007182411735902491,0.028364817467762916
Generated,light,0.034951140868403986,0.02630490366656875
Generated,like,-0.12742015048862937,0.033792889537517364
Generated,little,-0.2583518377773498,0.029318594995165773
Generated,long,-0.17642518922846798,0.022206029000973987
Generated,look,0.10061263290748487,0.037396363111530634
Generated,love,-0.05870078155719277,0.01594050140770895
Generated,man,-0.01699313617913256,0.026892422184057876
Generated,mean,0.020893761589375618,0.022519088940933237
Generated,mind,-0.044236960123030855,0.04032302716085784
Generated,moment,0.013980826368844946,0.024858826404182556
Generated,need,-0.022612318900709895,0.013887739185003094
Generated,night,-0.027390241314291502,0.011582778682848899
Generated,not,0.4953306518832042,0.02527842074325961
Generated,of,-0.605111154745582,0.03339994224541574
Generated,oh,-0.42307448954562343,0.025765223998328708
Generated,old,0.1631047126961313,0.0513650190988555
Generated,on,-0.19373536462290936,0.02521296568826186
Generated,open,0.12637169780172985,0.019907171801103674
Generated,people,0.026622329177133218,0.014507742762712066
Generated,place,-0.06944386844514899,0.049610702414250155
Generated,right,-0.2436667047623049,0.0736958405248244
Generated,room,0.017276548536064314,0.01972165210452392
Generated,run,0.0015914468622247196,0.030083666391438398
Generated,she,0.15860337270572739,0.056296418571041736
Generated,sit,0.11881773075825316,0.02009321874993491
Generated,smile,-0.003153084686270481,0.01777602858105769
Generated,speak,0.02125067104110029,0.011769848680868267
Generated,stand,0.14199203696874482,0.02686008747482811
Generated,start,-0.15142390155392849,0.017471286103324705
Generated,stop,0.061982808101057704,0.014224878823468866
Generated,talk,-0.04873299486348993,0.035079186386534296
Generated,tell,0.08563582743510673,0.04083685684607581
Generated,that,0.29576868077795626,0.04612153613240216
Generated,the,1.7611245137525338,0.03246164322430523
Generated,they,0.3216292851741419,0.039151070837849036
Generated,thing,-0.016500233556166345,0.020954070632444526
Generated,think,0.15548583633613453,0.04191391228745427
Generated,time,-0.23759532990787657,0.04278513168229486
Generated,to,-0.9540727548564831,0.05723683897618399
Generated,try,-0.07180095965982525,0.016884934638597804
Generated,turn,-0.000185030670253504,0.026052052557129345
Generated,use,0.014902160097214585,0.030863747789348417
Generated,voice,0.050753631067495655,0.01621969079831629
Generated,wait,0.07024805248557735,0.022096026890101275
Generated,walk,-0.037782856614940095,0.022240762588218634
Generated,want,0.16610173362506023,0.010697535542903876
Generated,watch,0.0726751117367023,0.025711886678632685
Generated,way,-0.004374729051464259,0.02007751966011568
Generated,with,0.3293294079321386,0.007594125245564503
Generated,woman,-0.08022545011503177,0.02872431527075729
Generated,word,-0.0910480812518479,0.012904778503148528
Generated,work,0.17791633868072748,0.020308139438125886
Generated,year,-0.07635066271740157,0.026603167009899575
Generated,yes,0.01000411573602179,0.03187839469332957
Generated,you,-0.2125420121140212,0.017460979388677144
