class_label,class_name,metric,mean,std
0,Chicago,precision,1.0,0.0
0,Chicago,recall,0.9998899889988999,0.00022002200220021527
0,Chicago,f1,0.9999449793672627,0.00011004126547455861
1,Fanfics,precision,0.9843390945861991,0.005201066585484343
1,Fanfics,recall,0.9801958401673959,0.005577027822797918
1,Fanfics,f1,0.9822475761887937,0.003722306940202656
2,Simplestories,precision,0.9889419413077188,0.0036041636189188013
2,Simplestories,recall,0.9828359831029884,0.004889520438353065
2,Simplestories,f1,0.9858701374150807,0.0030402040512918158
3,Storyscope,precision,0.9783409758803134,0.003494283518150884
3,Storyscope,recall,0.9885577660682966,0.0018200854258317556
3,Storyscope,f1,0.9834205936404764,0.0023721766267890934
