word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,auditory.sd,gustatory.sd,haptic.sd,interoceptive.sd,olfactory.sd,visual.sd,foot_leg.sd,hand_arm.sd,head.sd,mouth.sd,torso.sd
hypnotize,2.333333333,0.444444444,0.944444444,2.611111111,0.166666667,2.888888889,0.476190476,1.0,3.380952381,1.476190476,0.571428571,1.878672873,1.247219129,1.513555309,1.719743103,0.514495755,1.567646752,1.249761882,1.61245155,2.178903175,1.860619456,1.287300609
hypnotizer,1.8,0.0,0.466666667,0.8,0.0,2.266666667,0.058823529,0.705882353,2.588235294,0.705882353,0.117647059,2.177810171,0.0,1.060098827,1.61245155,0.0,2.218965868,0.242535625,1.531531337,2.123052741,1.403776419,0.332105582
hypo,0.538461538,0.0,0.0,0.461538462,0.0,1.615384615,1.1,1.1,1.6,1.0,1.1,1.330124344,0.0,0.0,1.198289379,0.0,2.18091959,1.91195072,1.728840331,2.011080417,1.490711985,1.728840331
hypoallergenic,0.388888889,0.166666667,1.444444444,1.388888889,0.666666667,1.722222222,0.65,0.95,2.15,1.7,1.1,0.697802339,0.707106781,1.789584974,1.819466272,1.188177052,1.775836358,1.386969434,1.503504678,1.78517285,1.949358869,1.682729612
hypochondria,1.933333333,0.266666667,0.6,3.533333333,0.6,2.0,0.375,0.8125,3.5625,1.25,0.6875,2.153623746,1.032795559,1.594633859,1.995232413,1.594633859,1.963961012,1.024695077,1.376892637,1.860779407,1.527525232,1.195477589
hypochondriac,2.411764706,0.294117647,0.705882353,2.0,0.294117647,2.176470588,0.888888889,1.277777778,3.5,1.722222222,1.166666667,2.237711541,1.212678125,1.686887144,2.236067977,1.212678125,1.975958442,1.676441922,1.903728711,2.121320344,2.244091734,1.72353945
hypocrisy,2.0,0.0,0.0,1.529411765,0.294117647,2.529411765,0.25,0.4,3.05,2.85,0.4,2.121320344,0.0,0.0,1.940285,1.212678125,2.211267935,0.910465468,1.095445115,2.064104241,2.134306247,1.095445115
hypocrite,3.315789474,0.0,0.105263158,1.368421053,0.0,2.684210526,0.421052632,1.0,2.947368421,3.105263158,0.473684211,1.634782744,0.0,0.315301768,1.94965884,0.0,1.765491168,1.304513084,1.795054936,1.809655713,1.997073883,1.306752593
hypocritical,3.777777778,0.0,0.277777778,1.055555556,0.0,2.5,0.136363636,0.090909091,2.227272727,2.681818182,0.090909091,1.437135859,0.0,0.826442095,1.696786659,0.0,1.653872461,0.467562529,0.294244943,2.266354702,2.212224987,0.294244943
hypocritically,3.117647059,0.058823529,0.058823529,1.352941176,0.058823529,2.294117647,0.714285714,1.047619048,2.904761905,2.80952381,0.666666667,1.576481563,0.242535625,0.242535625,1.835114999,0.242535625,1.490163828,1.585649934,1.657594356,2.047065263,2.08851736,1.316561177
