tokens,count
air.,2135
"here?""",2133
mother.,2115
floor.,2114
alone.,2110
heart.,2110
hoping,2109
finds,2105
"instead,",2103
"words,",2099
"mean,",2092
"once,",2089
"not,",2080
it?,2077
"home,",2075
gods.,2074
tries,2072
reminded,2052
"feet,",2049
so.,2049
parents,2048
hades.,2046
"be,",2043
enough.,2042
water.,2037
"door,",2035
"herself,",2027
bringing,2022
god's,2017
pulls,1995
around.,1993
memories,1991
lives,1984
waves,1981
god.,1976
shared,1975
father.,1965
bruce,1965
alexander,1965
he'll,1964
"thought,",1963
paused,1960
much.,1958
"""now",1958
smiled.,1955
shi,1949
lets,1936
starts,1934
asks,1933
"achilles,",1933
"world,",1932
si,1930
"go,",1929
menelaus,1929
"place,",1928
"""where",1923
"enough,",1919
souls,1915
boys,1913
"air,",1909
anymore.,1906
guys,1905
"brother,",1903
"this.""",1902
betty,1894
crowley,1884
is.,1872
nothing.,1868
named,1867
ta,1865
(see,1862
shifted,1861
grinned,1855
"""because",1855
achilles.,1853
underworld.,1849
notes.),1848
"anything,",1846
else.,1843
'i,1841
theseus,1839
stories,1837
entered,1828
answered,1826
say.,1818
swallowed,1816
his.,1810
death.,1805
hera's,1803
"thing,",1796
aphrodite's,1793
holds,1792
loves,1783
something.,1783
arrived,1773
then.,1771
no.,1771
stands,1764
jumped,1763
ears,1758
"know,""",1745
brothers,1745
softly.,1738
anything.,1737
thing.,1736
"""can",1735
promised,1734
table.,1734
hasn't,1729
shoulders.,1727
"fact,",1726
medea,1721
approached,1720
"""in",1720
places,1720
gone.,1719
with.,1716
yet.,1713
patroclus.,1711
troy,1707
refused,1707
"""when",1707
"right?""",1702
aziraphale,1702
look.,1701
yi,1699
cassandra,1698
"know.""",1696
"this?""",1694
"""well",1694
"own,",1691
me?,1691
"much,",1687
trees,1683
feelings,1683
things.,1681
"""so,",1680
l,1680
arm.,1678
we've,1678
sisters,1673
laughed.,1671
"sorry,",1671
cheek.,1670
"finally,",1670
"but,",1668
"what?""",1666
child.,1664
"years,",1660
liao,1655
light.,1653
percy,1650
"softly,",1649
created,1648
